UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
545001;61 콤무나라 니콜라예프 조선소 ;T3700;4;1900;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545002;안토노프 설계국 ;T14001;6;1946;1970;aeronautics;bomber_design;general_equipment;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545003;베리예프 설계국 ;T14002;6;1934;1970;aeronautics;fighter_design;aircraft_testing;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545004;하르코프 공장 설계국 ;T3702;7;1927;1970;mechanics;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545005;흑해 조선소 ;T14004;5;1900;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545006;하르코프 항공 연구소 ;T14005;6;1930;1970;aeronautics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545007;키예프대학교 ;T14006;3;1900;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545008;모로조프 설계국 ;T14007;5;1928;1970;mechanics;artillery;technical_efficiency;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545009;모토르 시치 ;T14008;5;1915;1970;mechanics;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545010;투폴레프 설계국 ;T3714;5;1922;1970;aeronautics;bomber_design;rocketry;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545011;키예프 육군사관학교 ;T10401;4;1900;1970;large_unit_tactics;combined_arms_focus;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545012;오데사 국립 해군사관학교 ;T14011;4;1944;1970;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545013;하르코프 항공 관제 센터 ;T10402;4;1920;1970;centralized_execution;bomber_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
