VEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
180001;JFPN ;T5500;5;1900;1970;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180002;베네수엘라 석유회사 ;T5501;6;1900;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180003;베네수엘라 국영 철도 ;T5502;4;1900;1970;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180004;델가도 찰바우드 ;T5503;3;1930;1970;centralized_execution;combined_arms_focus;training;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180005;베네수엘라 공군학교 ;T5504;2;1930;1970;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180006;베네수엘라 해군학교 ;T5505;2;1900;1970;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180007;이사이아스 메디나 앙가리타 ;T5506;4;1930;1970;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180008;카라카스 병기창 ;T9800;4;1900;1970;artillery;mechanics;general_equipment;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180009;베네수엘라 항공기회사 ;T11403;4;1930;1970;aeronautics;fighter_design;avionics;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180010;베네수엘라 철도 ;100440;4;1890;1970;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180011;베네수엘라 육군 ;100441;3;1890;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180012;볼프강 라라사발 ;100606;3;1947;1970;centralized_execution;large_taskforce_tactics;seamanship;;management;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
