VIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
230001;Æç¸¯½º ¾Æ¹Ì¿À ;T1401;6;1930;1970;aeronautics;bomber_design;aircraft_testing;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230002;¿¡¹Ð µåºê¿ÍÆ¾ ;T1403;4;1930;1970;fighter_design;general_equipment;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230003;FAMH ;T1404;4;1930;1970;mechanics;training;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230004;Äð¸¸ ;T1407;3;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230005;»ýÅ×Æ¼¿£ ¹«±â°øÀå ;T1408;5;1930;1970;munitions;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230006;·Ð-Ç®¶û ;T1411;3;1930;1970;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230007;½´´Ïµ¥¸£ ;100118;4;1930;1970;vehicle_engineering;mechanics;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230008;SNPA ;T1414;4;1941;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230009;SOMUA ;T1415;5;1930;1970;mechanics;industrial_engineering;vehicle_engineering;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230010;ÇÁ¶û¼ö¾Æ ´Ù¸¦¶û ;T1418;3;1930;1951;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230011;¸¶¸£¼¿ Àå¼ú ;T1420;4;1930;1970;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230012;¸ð¸®½º °¡¹É·© ;T1422;1;1930;1958;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230013;¸·½É º£°­ ;T1423;2;1940;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230014;»þ¸¦ ³ë°Ô½º ;T6623;2;1940;1970;centralized_execution;large_unit_tactics;combined_arms_focus;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230015;À°±º »ê¾ÇÇÐ±³ ;100384;6;1930;1970;artillery;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230016;¸¶¸£¼¿ ºí·ÎÈå Ç×°ø±â ;100385;5;1930;1945;avionics;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
