VIE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
790001;하노이 항공우주회사 ;T11403;2;1930;1970;aeronautics;aircraft_testing;bomber_design;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
790002;하노이 병기창 ;T9800;3;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
790003;하노이 기술대학교 ;T14302;3;1900;1970;management;chemistry;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
790004;베트남 해양대학교 ;T14403;4;1900;1970;naval_training;management;mechanics;naval_engineering;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
790005;베트남 사관학교 ;T10401;3;1900;1970;centralized_execution;decentralized_execution;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
790006;베트남 철도부 ;100583;2;1914;1975;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790007;바손 조선소 ;100584;2;1914;1975;technical_efficiency;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790008;에어 베트남 ;100585;2;1951;1975;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790009;후에 왕립학교 ;100586;1;1914;1945;training;centralized_execution;individual_courage;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790010;도까오찌 ;100587;3;1955;1970;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790011;파스퇴르 연구소 ;100588;2;1914;1975;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790012;응우옌반힌 ;100589;2;1936;1975;decentralized_execution;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790013;냐짱 해군사관학교 ;100590;2;1945;1975;small_taskforce_tactics;naval_engineering;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
