##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV0;(Embarked);;;;;;;;;;X
PROV1;레이캬비크 ;;;;;;;;;;X
PROV2;토르스하운 ;;;;;;;;;;X
PROV3;아쿠레이리 ;;;;;;;;;;X
PROV4;스토너웨이 ;;;;;;;;;;X
PROV5;스캐퍼 플로 ;;;;;;;;;;X
PROV6;인버네스 ;;;;;;;;;;X
PROV7;애버딘 ;;;;;;;;;;X
PROV8;포트 윌리엄 ;;;;;;;;;;X
PROV9;러윅 ;;;;;;;;;;X
PROV10;덤프리스 ;;;;;;;;;;X
PROV11;글래스고 ;;;;;;;;;;X
PROV12;에딘버러 ;;;;;;;;;;X
PROV13;선더랜드 ;;;;;;;;;;X
PROV14;칼라일 ;;;;;;;;;;X
PROV15;헐 ;;;;;;;;;;X
PROV16;링컨 ;;;;;;;;;;X
PROV17;맨체스터 ;;;;;;;;;;X
PROV18;셰필드 ;;;;;;;;;;X
PROV19;브리스톨 ;;;;;;;;;;X
PROV20;엑서터 ;;;;;;;;;;X
PROV21;카나번 ;;;;;;;;;;X
PROV22;카디프 ;;;;;;;;;;X
PROV23;플리머스 ;;;;;;;;;;X
PROV24;버밍엄 ;;;;;;;;;;X
PROV25;노리치 ;;;;;;;;;;X
PROV26;도버 ;;;;;;;;;;X
PROV27;포츠머스 ;;;;;;;;;;X
PROV28;옥스퍼드 ;;;;;;;;;;X
PROV29;런던 ;;;;;;;;;;X
PROV30;워터퍼드 ;;;;;;;;;;X
PROV31;코크 ;;;;;;;;;;X
PROV32;골웨이 ;;;;;;;;;;X
PROV33;레터케니 ;;;;;;;;;;X
PROV34;더블린 ;;;;;;;;;;X
PROV35;런던데리 ;;;;;;;;;;X
PROV36;벨파스트 ;;;;;;;;;;X
PROV37;브레스트 ;;;;;;;;;;X
PROV38;렌 ;;;;;;;;;;X
PROV39;로리앙 ;;;;;;;;;;X
PROV40;생-나제르 ;;;;;;;;;;X
PROV41;생-브리외 ;;;;;;;;;;X
PROV42;생-브리외 ;;;;;;;;;;X
PROV43;셰르부르 ;;;;;;;;;;X
PROV44;캉 ;;;;;;;;;;X
PROV45;르 아브르 ;;;;;;;;;;X
PROV46;바이외 ;;;;;;;;;;X
PROV47;팔레즈 ;;;;;;;;;;X
PROV48;에브뢰 ;;;;;;;;;;X
PROV49;칼레 ;;;;;;;;;;X
PROV50;아미앵 ;;;;;;;;;;X
PROV51;됭케르크 ;;;;;;;;;;X
PROV52;릴 ;;;;;;;;;;X
PROV53;디에프 ;;;;;;;;;;X
PROV54;트루아 ;;;;;;;;;;X
PROV55;파리 ;;;;;;;;;;X
PROV56;샤토 티에리 ;;;;;;;;;;X
PROV57;낭트 ;;;;;;;;;;X
PROV58;르 망 ;;;;;;;;;;X
PROV59;앙제 ;;;;;;;;;;X
PROV60;샤르트르 ;;;;;;;;;;X
PROV61;투르 ;;;;;;;;;;X
PROV62;푸아티에 ;;;;;;;;;;X
